field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,
081,38,15,2002,2022,6,3,32,,
081,38,16,2002,2022,6,2,21,,
081,38,17,2002,2022,6,0,0,,
081,38,18,2002,2022,6,0,0,,
081,38,19,2002,2022,6,0,0,,
081,38,20,2002,2022,6,0,0,,
081,38,21,2002,2022,6,2,36,,
081,38,22,2002,2022,6,0,0,,
081,38,23,2002,2022,6,0,0,,
081,38,24,2002,2022,6,0,0,,
081,38,25,2002,2022,6,1,3,,
081,39,1,2002,2022,6,1,8,,
081,39,2,2002,2022,6,1,2,,
081,39,3,2002,2022,6,0,0,,
081,39,4,2002,2022,6,1,4,,
081,39,5,2002,2022,6,0,0,,
081,39,6,2002,2022,6,0,0,,
081,39,7,2002,2022,6,0,0,,
081,39,8,2002,2022,6,0,0,,
081,39,9,2002,2022,6,0,0,,
081,39,12,2002,2022,6,0,0,,
081,39,13,2002,2022,6,0,0,,
081,39,14,2002,2022,6,0,0,,
081,39,15,2002,2022,6,0,0,,
081,39,16,2002,2022,6,2,20,,
081,39,17,2002,2022,6,1,16,,
081,39,18,2002,2022,6,0,0,,
081,39,19,2002,2022,6,0,0,,
081,39,20,2002,2022,6,0,0,,
081,39,21,2002,2022,6,2,16,,
081,39,22,2002,2022,6,0,0,,
081,39,24,2002,2022,6,0,0,,
081,39,25,2002,2022,6,0,0,,
081,40,1,2002,2022,6,1,4,,
081,40,2,2002,2022,6,1,12,,
081,40,3,2002,2022,6,1,7,,
081,40,4,2002,2022,6,3,52,,
081,40,5,2002,2022,6,2,22,,
081,40,6,2002,2022,6,2,20,,
081,40,7,2002,2022,6,0,0,,
081,40,8,2002,2022,6,0,0,,
081,40,9,2002,2022,6,0,0,,
081,40,10,2002,2022,6,0,0,,
081,40,11,2002,2022,6,2,16,,
081,40,12,2002,2022,6,1,5,,
081,40,13,2002,2022,6,0,0,,
081,40,14,2002,2022,6,1,10,,
081,40,15,2002,2022,6,0,0,,
081,40,17,2002,2022,6,1,1,,
081,40,18,2002,2022,6,1,6,,
081,40,19,2002,2022,6,1,2,,
081,40,20,2002,2022,6,1,9,,
081,40,21,2002,2022,6,2,29,,
081,40,22,2002,2022,6,1,9,,
081,40,23,2002,2022,6,0,0,,
081,40,24,2002,2022,6,1,7,,
081,40,25,2002,2022,6,1,5,,
081,41,8,2002,2022,6,0,0,,
081,41,10,2002,2022,6,0,0,,
081,41,11,2002,2022,6,1,6,,
081,41,12,2002,2022,6,0,0,,
081,41,13,2002,2022,6,1,9,,
081,41,14,2002,2022,6,1,7,,
081,41,15,2002,2022,6,3,30,,
081,41,16,2002,2022,6,1,1,,
081,41,17,2002,2022,6,0,0,,
081,41,18,2002,2022,6,0,0,,
081,41,19,2002,2022,6,1,1,,
081,41,20,2002,2022,6,3,44,,
081,41,21,2002,2022,6,3,40,,
081,41,22,2002,2022,6,2,10,,
081,41,23,2002,2022,6,1,7,,
081,41,24,2002,2022,6,1,10,,
081,41,25,2002,2022,6,2,21,,
081,42,7,2002,2022,6,0,0,,
081,42,8,2002,2022,6,1,2,,
081,42,9,2002,2022,6,1,4,,
081,42,10,2002,2022,6,1,10,,
081,42,11,2002,2022,6,2,11,,
081,42,12,2002,2022,6,2,13,,
081,42,13,2002,2022,6,0,0,,
081,42,15,2002,2022,6,1,2,,
081,42,16,2002,2022,6,0,0,,
081,42,17,2002,2022,6,0,0,,
081,42,18,2002,2022,6,1,5,,
081,42,19,2002,2022,6,2,17,,
081,42,20,2002,2022,6,2,18,,
081,42,21,2002,2022,6,3,43,,
081,42,22,2002,2022,6,0,0,,
081,42,23,2002,2022,6,1,4,,
081,42,24,2002,2022,6,2,14,,
081,42,25,2002,2022,6,2,15,,
081,43,8,2002,2022,6,2,19,,
081,43,9,2002,2022,6,1,5,,
081,43,10,2002,2022,6,1,2,,
081,43,11,2002,2022,6,2,20,,
081,43,12,2002,2022,6,1,4,,
081,43,13,2002,2022,6,2,16,,
081,43,15,2002,2022,6,2,24,,
081,43,16,2002,2022,6,1,5,,
081,43,17,2002,2022,6,1,5,,
081,43,18,2002,2022,6,0,0,,
081,43,19,2002,2022,6,0,0,,
081,43,20,2002,2022,6,1,6,,
081,43,21,2002,2022,6,2,21,,
081,43,22,2002,2022,6,3,53,,
081,43,23,2002,2022,6,1,6,,
081,43,24,2002,2022,6,2,37,,
081,43,25,2002,2022,6,2,21,,
081,44,7,2002,2022,6,1,8,,
081,44,8,2002,2022,6,2,15,,
081,44,9,2002,2022,6,1,6,,
081,44,10,2002,2022,6,3,34,,
081,44,11,2002,2022,6,2,19,,
081,44,12,2002,2022,6,2,25,,
081,44,13,2002,2022,6,1,3,,
081,44,15,2002,2022,6,0,0,,
081,44,16,2002,2022,6,2,13,,
081,44,17,2002,2022,6,2,12,,
081,44,18,2002,2022,6,0,0,,
081,44,19,2002,2022,6,3,30,,
081,44,20,2002,2022,6,1,2,,
081,44,21,2002,2022,6,0,0,,
081,44,22,2002,2022,6,3,37,,
081,44,23,2002,2022,6,0,0,,
081,44,24,2002,2022,6,0,0,,
081,44,25,2002,2022,6,3,31,,
081,45,1,2002,2022,6,0,0,,
081,45,2,2002,2022,6,1,9,,
081,45,3,2002,2022,6,1,9,,
081,45,4,2002,2022,6,0,0,,
081,45,5,2002,2022,6,3,38,,
081,45,6,2002,2022,6,1,1,,
081,45,7,2002,2022,6,0,0,,
081,45,8,2002,2022,6,1,5,,
081,45,9,2002,2022,6,1,8,,
081,45,10,2002,2022,6,1,2,,
081,45,11,2002,2022,6,2,20,,
081,45,12,2002,2022,6,0,0,,
081,45,13,2002,2022,6,3,36,,
081,45,20,2002,2022,6,0,0,,
081,45,21,2002,2022,6,0,0,,
081,45,22,2002,2022,6,0,0,,
081,45,23,2002,2022,6,0,0,,
081,45,24,2002,2022,6,0,0,,
081,45,25,2002,2022,6,1,1,,
081,46,1,2002,2022,6,3,33,,
081,46,2,2002,2022,6,1,9,,
081,46,3,2002,2022,6,2,16,,
081,46,4,2002,2022,6,2,15,,
