field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr
095,29,11,2005,2022,1,2,14,
095,29,12,2005,2022,1,0,0,
095,29,13,2005,2022,1,0,0,
095,29,14,2005,2022,1,0,0,
095,29,15,2005,2022,1,3,30,
095,29,16,2005,2022,1,0,0,
095,29,17,2005,2022,1,2,13,
095,29,18,2005,2022,1,3,32,
095,29,20,2005,2022,1,4,43,
095,29,21,2005,2022,1,1,3,
095,29,22,2005,2022,1,2,10,
095,29,23,2005,2022,1,1,5,
095,29,24,2005,2022,1,3,32,
095,29,25,2005,2022,1,2,23,
095,29,26,2005,2022,1,1,8,
095,30,1,2005,2022,1,4,40,
095,30,2,2005,2022,1,2,21,
095,30,3,2005,2022,1,2,18,
095,30,4,2005,2022,1,2,21,
095,30,5,2005,2022,1,2,25,
095,30,6,2005,2022,1,2,26,
095,30,7,2005,2022,1,3,30,
095,30,8,2005,2022,1,4,42,
095,30,9,2005,2022,1,1,7,
095,30,10,2005,2022,1,2,18,
095,30,11,2005,2022,1,1,7,
095,30,12,2005,2022,1,2,26,
095,30,13,2005,2022,1,0,0,
095,30,14,2005,2022,1,2,29,
095,30,15,2005,2022,1,1,6,
095,30,16,2005,2022,1,2,11,
095,30,17,2005,2022,1,1,5,
095,30,18,2005,2022,1,2,28,
095,30,19,2005,2022,1,3,38,
095,30,20,2005,2022,1,2,18,
095,30,21,2005,2022,1,1,7,
095,30,22,2005,2022,1,2,23,
095,30,23,2005,2022,1,2,17,
095,30,24,2005,2022,1,2,21,
095,30,25,2005,2022,1,2,10,
095,30,26,2005,2022,1,0,0,
095,31,1,2005,2022,1,3,30,
095,31,2,2005,2022,1,2,12,
095,31,3,2005,2022,1,3,36,
095,31,4,2005,2022,1,0,0,
095,31,5,2005,2022,1,1,2,
095,31,6,2005,2022,1,2,22,
